
---------- Begin Simulation Statistics ----------
simSeconds                                   0.136376                       # Number of seconds simulated (Second)
simTicks                                 136375704556                       # Number of ticks simulated (Tick)
finalTick                                136375704556                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    779.46                       # Real time elapsed on the host (Second)
hostTickRate                                174961920                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8568252                       # Number of bytes of host memory used (Byte)
simInsts                                    238353491                       # Number of instructions simulated (Count)
simOps                                      241296226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   305793                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     309569                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        286503582                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.201369                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.832384                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252786110                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      510                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      250956200                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30366                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11490393                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12679291                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 145                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           286099358                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.877164                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.964494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 123582080     43.20%     43.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99367087     34.73%     77.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41454940     14.49%     92.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18426402      6.44%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2956542      1.03%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    300468      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     11436      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       321      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        82      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             286099358                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  276587      3.87%      3.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   9576      0.13%      4.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      93      0.00%      4.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 90345      1.27%      5.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                477415      6.69%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 46540      0.65%     12.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               170819      2.39%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             93971      1.32%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                   216      0.00%     16.32% # attempts to use FU when none available (Count)
